Pic\Features,s-ASM,s-CON,s-COR,s-VAR,s-IDM,s-SAV,s-SEN,s-SVA,s-ENT,s-DEN,s-DVA,s-DIS,s-CLS,s-CLP,s-MIP,s-MAP,s-MEA,s-IMIN,s-IMAX,s-IMEA,p-ASM,p-CON,p-COR,p-VAR,p-IDM,p-SAV,p-SEN,p-SVA,p-ENT,p-DEN,p-DVA,p-DIS,p-CLS,p-CLP,p-MIP,p-MAP,p-MEA,P-IMIN,P-IMAX,P-IMEA
2015040117594700000-.bmp,0.005734845,23.77142997,0.985561619,823.2027779,0.274551064,43.05106612,4.556516591,4750.870025,6.52134617,2.347541938,8.35E-05,3.537020736,394403.7246,8.39E+07,0,0.040336463,21.52553306,0,0,0,0.009067055,35.2993512,0.951839783,366.4783262,0.235250153,26.02635955,4.057675917,1913.237014,6.045092441,2.552616941,7.38E-05,4.433114893,215772.4559,5.61E+07,0,0.057153104,13.01317977,0,0,0
2015040117594700004-.bmp,8.77E-04,48.90877999,0.971479132,857.4209545,0.176927489,65.62945683,5.119965202,7042.173615,7.634998142,2.706789237,6.80E-05,5.380004564,351935.3856,8.46E+07,0,0.00323748,32.81472842,0,0,0,0.002810108,380.3816771,0.821150789,1063.414469,0.098642901,71.49175796,4.70181571,8334.172582,6.747705247,3.247864983,5.29E-05,15.13289645,406479.3816,9.21E+07,0,0.029753521,35.74587898,0,0,0
2015040117594700006-.bmp,0.002311193,20.73603286,0.976871971,448.2879376,0.255870706,41.18377673,4.586415897,3111.782538,6.708101514,2.291782118,8.47E-05,3.455985915,251025.771,6.61E+07,0,0.007035733,20.59188837,0,0,0,0.032334331,1956.357508,0.083814116,1067.664075,0.185734214,60.20840832,3.148918902,5570.084123,4.497552744,2.687329819,7.17E-05,32.94978156,100337.6666,1.98E+07,0,0.146133281,30.10420416,0,0,0
2015040117594700009-.bmp,8.38E-04,104.8141269,0.963200328,1424.117696,0.134565524,76.23015454,5.262961501,10627.99914,8.019215181,3.074601761,5.61E-05,7.819538993,632184.1277,1.54E+08,0,0.00970266,38.11507727,0,0,0,0.03282369,837.2581931,0.245976696,555.1938438,0.192551298,42.20462637,3.255137652,2900.579853,4.585293027,2.723424003,7.17E-05,21.41276408,92672.06123,1.86E+07,0,0.149122979,21.10231318,0,0,0
2015040117594700010-.bmp,0.001843106,66.74955334,0.960769237,850.7297473,0.166912437,53.76511802,4.926870914,5721.343817,7.412114162,2.865671578,6.22E-05,6.281510824,395249.9845,8.99E+07,0,0.023109025,26.88255901,0,0,0,0.051426592,2146.398243,0.030006696,1106.398484,0.230082069,55.34686685,2.95510009,5024.092919,4.085272218,2.590852888,7.84E-05,33.53011541,105873.125,1.97E+07,0,0.194969353,27.67343342,0,0,0
2015040117594700012-.bmp,0.019652844,6.786909885,0.992325691,442.1837732,0.477603205,22.46138824,3.768512019,2111.371804,5.071956398,1.689740553,1.19E-04,1.667491523,337506.4958,9.23E+07,0,0.065590767,11.23069412,0,0,0,0.045742434,752.5897431,0.47930622,722.6797896,0.226184399,41.87402191,3.265747628,3628.728258,4.487603183,2.669795594,7.62E-05,19.69878065,225100.1878,4.49E+07,0,0.185876369,20.93701095,0,0,0
2015040117594700013-.bmp,0.001092388,73.58736633,0.957950341,875.0054964,0.158584533,64.79054186,5.133416379,6985.40724,7.702086859,2.906806967,6.12E-05,6.550961789,374757.1634,9.60E+07,0,0.014143192,32.39527093,0,0,0,0.036587737,746.237989,0.407107372,629.3196722,0.205199203,42.49001695,3.350178994,3302.967615,4.648254066,2.731049601,7.27E-05,19.91969875,142373.6229,2.58E+07,0,0.162363067,21.24500848,0,0,0
2015040117594700015-.bmp,0.004583519,11.76975743,0.973410088,221.3199781,0.31458918,28.20657929,4.158520911,1451.819267,6.011427552,2.033190266,9.60E-05,2.618694575,114342.1159,2.90E+07,0,0.014697444,14.10328965,0,0,0,0.043998448,1371.146746,0.145782533,802.5747537,0.217267188,48.98324204,3.065561684,3947.585638,4.311414784,2.610086433,7.62E-05,27.01837507,95901.42195,1.69E+07,0,0.179127543,24.49162102,0,0,0
2015040117594700018-.bmp,0.00766417,6.839899583,0.990657377,366.0588415,0.42696653,29.24860459,4.219658718,2083.843598,5.691314842,1.744163013,1.14E-04,1.829499218,245303.4166,6.73E+07,0,0.025472744,14.6243023,0,0,0,0.001731883,50.92049426,0.944110987,455.5501314,0.176187735,42.05717919,4.63220488,3171.908733,7.078468111,2.732827104,6.66E-05,5.526630151,223416.9013,5.27E+07,0,0.010592723,21.02858959,0,0,0
2015040117594700020-.bmp,0.009629733,4.824602243,0.988071104,202.2233408,0.456898772,24.34917188,3.977632288,1219.068387,5.348828822,1.608691371,1.20E-04,1.580881586,124169.6411,3.54E+07,0,0.026408451,12.17458594,0,0,0,0.014421375,313.7423089,0.745947621,617.475637,0.162771749,48.15708464,4.169983549,4091.025301,5.857385428,3.018162929,6.16E-05,13.15535668,174157.8754,3.54E+07,0,0.100169536,24.07854232,0,0,0
