Pic\Features,s-ASM,s-CON,s-COR,s-VAR,s-IDM,s-SAV,s-SEN,s-SVA,s-ENT,s-DEN,s-DVA,s-DIS,s-CLS,s-CLP,s-MIP,s-MAP,s-MEA,s-IMIN,s-IMAX,s-IMEA,p-ASM,p-CON,p-COR,p-VAR,p-IDM,p-SAV,p-SEN,p-SVA,p-ENT,p-DEN,p-DVA,p-DIS,p-CLS,p-CLP,p-MIP,p-MAP,p-MEA,P-IMIN,P-IMAX,P-IMEA
2015040117594700005-.bmp,0.003132591,19.83637194,0.983032041,584.5244027,0.271892211,38.82578899,4.560211831,3492.391017,6.582306816,2.269624212,8.60E-05,3.325919405,336665.6252,8.15E+07,0,0.017305686,19.4128945,0,0,0,0.029443034,501.5894953,0.437579335,445.9202221,0.190624032,36.75476656,3.442046338,2391.828722,4.816207043,2.789108524,6.97E-05,16.53783255,105956.6836,2.00E+07,0,0.142031821,18.37738328,0,0,0
2015040117594700028-.bmp,0.003589503,15.91328899,0.99253157,1065.37041,0.344216554,50.77491523,4.792307763,6359.968541,6.592638053,2.092813478,9.81E-05,2.695859416,723318.1688,1.90E+08,0,0.0125,25.38745762,0,0,0,0.007124629,8.144444444,0.987080015,315.1878468,0.385710819,26.99538341,4.157454886,1774.177922,5.759360913,1.848442879,1.07E-04,2.076564945,187286.5888,4.92E+07,0,0.022130934,13.49769171,0,0,0
2015040117594700053-.bmp,0.008459312,9.711733829,0.987539747,389.7085297,0.36520191,26.67469027,4.107975393,2058.379005,5.751673576,1.937550326,1.02E-04,2.277402843,237360.7949,5.92E+07,0,0.035925274,13.33734514,0,0,0,0.019984255,226.9888954,0.798572297,563.4500411,0.178512759,34.70106286,3.838512985,2979.308254,5.361893231,2.902902522,6.54E-05,11.21656886,365203.307,1.03E+08,0,0.113960616,17.35053143,0,0,0
2015040117594700066-.bmp,0.002389853,21.39751239,0.984826433,705.0916885,0.264699025,48.00325052,4.816691569,4664.048116,6.88781255,2.309641215,8.43E-05,3.464739828,343805.4655,8.33E+07,0,0.016862285,24.00162526,0,0,0,0.015333986,350.1547014,0.765284758,745.9138533,0.157806838,45.93510694,3.840390432,4405.46587,5.62567582,2.861556805,6.78E-05,13.98916927,330960.9183,7.26E+07,0,0.097906886,22.96755347,0,0,0
2015040117594700071-.bmp,0.00388491,19.28306273,0.987894798,796.4783713,0.294826564,42.66987154,4.653641623,4611.86416,6.594757492,2.238076354,8.86E-05,3.16001891,534274.0954,1.44E+08,0,0.025841158,21.33493577,0,0,0,0.034968944,762.5268486,0.489604878,746.9966065,0.202779344,45.22981547,3.41744126,3973.734214,4.741564548,2.749587194,7.20E-05,20.13547535,240318.7098,5.38E+07,0,0.159340767,22.61490773,0,0,0
2015040117594700079-.bmp,0.00102426,101.1541341,0.926124494,684.6256623,0.143693199,56.41221961,4.95697478,5284.990736,7.656614527,3.039394249,5.83E-05,7.468225091,261341.0218,5.58E+07,0,0.00527843,28.20610981,0,0,0,0.021488906,629.9811163,0.334580108,473.3711178,0.165157987,42.18826291,3.529171463,2758.028706,5.00091779,2.855070947,6.63E-05,18.83643714,65804.4761,1.01E+07,0,0.115496218,21.09413146,0,0,0
2015040117594700081-.bmp,0.005824286,7.91734481,0.983136823,234.7524647,0.375487855,27.03822379,4.177792102,1453.691851,5.80865524,1.84562842,1.06E-04,2.097333073,120087.1749,3.15E+07,0,0.016588419,13.51911189,0,0,0,0.043716128,847.410521,0.266782834,577.8714413,0.221312292,41.36963028,3.197749237,2921.167747,4.433612055,2.672244253,7.55E-05,21.06762194,86034.94751,1.46E+07,0,0.181422796,20.68481514,0,0,0
2015040117594700083-.bmp,0.004475934,15.54933816,0.981911143,429.8043389,0.321996114,33.37322314,4.410046684,2542.533607,6.259417452,2.118552695,9.47E-05,2.788455269,232116.9164,5.56E+07,0,0.016428665,16.68661157,0,0,0,0.027262823,849.2997848,0.436891089,754.1168049,0.180805843,48.71591028,3.487470927,4212.779161,4.882314222,2.810218869,6.90E-05,21.62228091,198875.506,4.15E+07,0,0.135286255,24.35795514,0,0,0
2015040117594700090-.bmp,0.007878417,9.705907668,0.989710361,471.6349785,0.417091718,28.41322379,4.192067813,2463.498403,5.706280416,1.836827759,1.11E-04,2.023748044,378781.1161,1.10E+08,0,0.025045644,14.20661189,0,0,0,0.011548732,354.825626,0.705532363,602.4866264,0.141873061,45.857277,3.866311998,3818.362021,5.735795494,2.899954592,6.62E-05,14.29489437,227468.9687,5.16E+07,0,0.080415363,22.9286385,0,0,0
2015040117594700091-.bmp,0.002209864,31.99801774,0.971352297,558.4743983,0.218651712,40.88350939,4.63797716,3515.638182,6.908217106,2.5060039,7.55E-05,4.315179969,324138.6591,8.64E+07,0,0.017413276,20.44175469,0,0,0,0.003934176,34.48557316,0.959346622,424.1415469,0.22664897,35.79119392,4.507543939,2640.747371,6.642459971,2.546570389,7.39E-05,4.42812011,212903.1733,5.13E+07,0,0.033493088,17.89559696,0,0,0
